epoch,loss,accuracy,val_loss,val_accuracy,lr
0,0.13550393283367157,0.954596996307373,0.09861050546169281,0.9677009582519531,
1,0.10363609343767166,0.9651653170585632,0.10544639080762863,0.9666122198104858,
2,0.09315328299999237,0.9677053689956665,0.10120486468076706,0.9638903737068176,
3,0.08912191540002823,0.9697011113166809,0.08378877490758896,0.9696969985961914,
4,0.08190951496362686,0.9704721570014954,0.08544519543647766,0.9733260869979858,
0,0.18449968099594116,0.9496983885765076,0.15876325964927673,0.9499183297157288,0.0010000000474974513
1,0.07806714624166489,0.9736925363540649,0.10442221164703369,0.9637089371681213,0.0010000000474974513
2,0.0434998981654644,0.9854855537414551,0.1135270968079567,0.9620758295059204,0.0010000000474974513
3,0.02236942946910858,0.9927881360054016,0.1805373579263687,0.9539103507995605,0.0010000000474974513
4,0.015352761372923851,0.9951013922691345,0.14177291095256805,0.9673380255699158,0.0010000000474974513
5,0.007205026689916849,0.9981856942176819,0.1275930404663086,0.9687896966934204,0.0010000000474974513
6,0.0067045195028185844,0.9984124898910522,0.15577469766139984,0.970059871673584,0.0010000000474974513
7,0.004636321682482958,0.9987753629684448,0.1394248604774475,0.9720559120178223,0.00010000000474974513
8,0.002392255701124668,0.9996371269226074,0.1408299058675766,0.9726002812385559,0.00010000000474974513
9,0.003469842253252864,0.9991835355758667,0.1428694725036621,0.9726002812385559,0.00010000000474974513
10,0.0022897825110703707,0.9995464086532593,0.14192157983779907,0.9731445908546448,0.00010000000474974513
11,0.002055412158370018,0.9996371269226074,0.14309802651405334,0.9733260869979858,0.00010000000474974513
12,0.002096999203786254,0.9995464086532593,0.14516642689704895,0.9729631543159485,0.00010000000474974513
13,0.001593941473402083,0.9998185634613037,0.14512667059898376,0.9729631543159485,0.00010000000474974513
14,0.0015033651143312454,0.9997278451919556,0.14481781423091888,0.9736889600753784,1.0000000656873453e-05
15,0.001610090141184628,0.9998639225959778,0.1448153704404831,0.9738704562187195,1.0000000656873453e-05
16,0.001304237055592239,0.9998639225959778,0.14483825862407684,0.9736889600753784,1.0000000656873453e-05
17,0.0013640187680721283,0.9998639225959778,0.14510175585746765,0.9738704562187195,1.0000000656873453e-05
18,0.0015357478987425566,0.9998185634613037,0.14502011239528656,0.9736889600753784,1.0000000656873453e-05
19,0.0012551653198897839,0.9999092817306519,0.14563049376010895,0.9735075235366821,1.0000000656873453e-05
